positive_sample_id,negative_sample_id,matching_distance,diff_luminance_mean,diff_Lab_a_mean,diff_Lab_b_mean,diff_ROI_short_side,diff_ROI_aspect_ratio,diff_foreground_ratio,diff_original_pixel_count,diff_blur_laplacian
stained_coating::中医舌诊染苔数据/染苔/273_彩虹糖.JPG,stained_coating::中医舌诊染苔数据/非染苔/909.JPG,1.1351721458116064,-0.4538378683673412,-0.2942499071006569,-0.4132594630694001,0.08252273048887238,0.2784801248836185,0.8284262716619727,0.025275773084731168,0.23235848366228984
stained_coating::中医舌诊染苔数据/染苔/275_橘子.JPG,stained_coating::中医舌诊染苔数据/非染苔/172.JPG,0.3941505432326538,0.15362297794063684,0.12254851292137281,0.14954139503885855,-0.25456164320296226,-0.07049688303048646,-0.12747675151031002,-0.09078346302672258,0.010510208746114191
stained_coating::中医舌诊染苔数据/染苔/280_彩虹糖.JPG,stained_coating::中医舌诊染苔数据/非染苔/696.JPG,1.4749018462513828,0.014904321708069879,0.04581904383230456,-0.20966994509486067,0.05315023319622292,-0.25963516179848056,1.243495218158489,0.7158915910081249,-0.005996200985765476
stained_coating::中医舌诊染苔数据/染苔/281_橙子味糖果.JPG,stained_coating::中医舌诊染苔数据/非染苔/793.JPG,1.4391209477428162,-0.35679370517595244,0.4832998380756037,-0.5984658603008777,0.11609129882332891,0.03081745426858662,1.0127187306194148,0.013201736459315216,-0.5584145560481016
stained_coating::中医舌诊染苔数据/染苔/297_黑葡提.JPG,stained_coating::中医舌诊染苔数据/非染苔/728.JPG,1.3008821689763719,0.027530614096348494,-0.24453611562533256,-1.0814613751173126,-0.5496853064767262,-0.18362105910115456,-0.3332030667661905,-0.12109091804427191,0.024938754887765202
stained_coating::中医舌诊染苔数据/染苔/306_蓝莓.JPG,stained_coating::中医舌诊染苔数据/非染苔/664.JPG,0.9939274266760849,0.09157674435618834,0.16752492116173257,-0.036494971373217555,-0.46296650494604674,0.05634144783122663,-0.384748292432866,-0.1309755993987099,0.7532667174598613
stained_coating::中医舌诊染苔数据/染苔/32_橘子.JPG,stained_coating::中医舌诊染苔数据/非染苔/595.JPG,1.4374405579055443,-0.3489412811581465,-0.009813039072796653,0.20533123279392373,-0.34407782542817983,-0.13793492025435933,1.2790704142596636,-0.15915271052813112,0.32163928062224756
stained_coating::中医舌诊染苔数据/染苔/339_黑莓.JPG,stained_coating::中医舌诊染苔数据/非染苔/784.JPG,1.4425976849030557,-0.24122805916106776,0.08893402567389819,0.08193492957230838,-1.180494653095056,-0.030774668490658463,0.40347854472932654,-0.3374514829019655,0.5805956982083987
stained_coating::中医舌诊染苔数据/染苔/43_橘子.JPG,stained_coating::中医舌诊染苔数据/非染苔/566.JPG,1.3993600347374417,-0.055852622932558105,-0.12371287893265592,-0.3161428363813139,0.05315023319622286,0.16173785854853084,1.3444415427129979,-0.04848724667815457,0.03129959877200428
stained_coating::中医舌诊染苔数据/染苔/555_奥利奥.JPG,stained_coating::中医舌诊染苔数据/非染苔/705.JPG,1.4418266214888407,-0.1705788453683047,0.4384689694083467,-0.05658772302814996,-0.9888740755191997,0.4788372742315764,0.3316139033476765,-0.34050490987377674,0.6490309772623367
stained_coating::中医舌诊染苔数据/染苔/618_芒果.JPG,stained_coating::中医舌诊染苔数据/非染苔/765.JPG,1.3421041744132467,0.05882026103151816,0.46484971690639565,0.44954863267960743,-0.8280246855832619,0.4671144115982441,0.5953342645347353,-0.339764465371651,0.07694821311215784
stained_coating::中医舌诊染苔数据/染苔/677_橘子.JPG,stained_coating::中医舌诊染苔数据/非染苔/752.JPG,1.2648995607098132,0.010930454578037208,0.25265244073176363,0.21567942984225685,-1.0000635982973518,0.1557017489669308,0.558847895573344,-0.3383604999577066,0.19578436605767335
stained_coating::中医舌诊染苔数据/染苔/680_咖啡.JPG,stained_coating::中医舌诊染苔数据/非染苔/761.JPG,1.2911445986562256,-0.08281209696004055,-0.16858121858024555,0.2640990079368236,-0.5902473265475279,0.4912357030460494,0.6142745928260565,-0.3236944680114778,0.7001519917335877
stained_coating::中医舌诊染苔数据/染苔/703_雀巢咖啡.JPG,stained_coating::中医舌诊染苔数据/非染苔/324.JPG,1.3155171857833674,-0.005180738100938831,-0.011153633049852785,0.21034204296435255,-0.5748617327275687,0.3114955542142678,0.8806140704395342,-0.33109407783562933,0.6112205215728487
stained_coating::中医舌诊染苔数据/染苔/713_莎布蕾饼干.JPG,stained_coating::中医舌诊染苔数据/非染苔/336.JPG,1.3440670999249267,-0.3803698441226311,0.18651308141082623,-0.04908701610684063,-0.7678810006506939,-0.09674818266555357,0.562856651313893,-0.3278242757933691,0.7754744859490601
stained_coating::中医舌诊染苔数据/染苔/717_苏卡咖啡.JPG,stained_coating::中医舌诊染苔数据/非染苔/1001.JPG,1.2657386909157595,-0.09677958914516194,0.3073326104381474,0.1460455087728364,-0.8434102794032212,0.18825494378830826,0.5635381031968918,-0.3343617919518668,0.5484447974033655
stained_coating::中医舌诊染苔数据/染苔/720_特浓咖啡.JPG,stained_coating::中医舌诊染苔数据/非染苔/657.JPG,1.392132418308457,-0.32503560926887554,0.1810217980936057,0.6764245439979558,-0.9161421774612104,0.23757052448463606,0.4630543099890515,-0.33403937221763763,0.3468539002035523
stained_coating::中医舌诊染苔数据/染苔/748_苏卡特浓咖啡.JPG,stained_coating::中医舌诊染苔数据/非染苔/708.JPG,1.3489890412372179,-0.06923222165810333,0.21492121296133684,0.4219204023809109,-0.9007565836412511,0.6686897271779211,0.34320193615686206,-0.3339489320536054,0.3208621927377026
stained_coating::中医舌诊染苔数据/染苔/757_苏卡特浓咖啡.JPG,stained_coating::中医舌诊染苔数据/非染苔/626.JPG,1.4423697119185712,0.16143497606824886,0.3968580467367012,0.5840321224811444,-1.1035666839952596,0.374185205176255,0.23352301006123083,-0.33720279992358765,0.17223991033134955
stained_coating::中医舌诊染苔数据/染苔/83_彩虹糖.JPG,stained_coating::中医舌诊染苔数据/非染苔/582.JPG,1.2314860291464467,-0.15350225629720515,0.9761852153615276,-0.138372304264881,-0.5692669713384926,0.054131266820238166,-0.29495930936545356,-0.19015511523868173,0.2659988482668668
